N a m e
h 2 6 5
S P E C K
F V _ S P E C K
R a t i o
lena_gray_512.tif 29.378872661 37.0793818478 35.0061454023 1.3210372924804688
woman_darkhair.tif 29.0649202442 40.4760949593 36.2070717429 1.1970291137695312
jetplane.tif 29.171198128 38.4715181291 34.4705776181 1.6380538940429688
lake.tif 29.2416928123 32.9396841206 31.5641085192 1.337188720703125
walkbridge.tif 28.9758641183 30.1805240555 29.897647762 1.2717666625976562
pirate.tif 29.1503164443 33.2719629404 31.8089458234 1.2391548156738281
livingroom.tif 29.1156840888 32.9586515698 31.5530989 1.3109245300292969
peppers_gray.tif 29.3104873143 34.0457943987 32.772654504 1.2709197998046875
house.tif 27.4683416361 45.5987554818 37.6347951298 1.3832931518554688
mandril_gray.tif 29.0110192609 32.8048791217 31.9797710321 1.3670387268066406
cameraman.tif 28.9362643965 40.0718978487 34.5919691027 1.2863426208496094
woman_blonde.tif 29.244131361 33.8899438309 32.3499685551 1.3955841064453125
